x,y,etiqueta
-4.570,-4.151,1.000
4.122,4.311,0.000
1.673,4.844,0.000
-1.900,-0.987,1.000
5.374,4.015,0.000
0.910,4.770,0.000
-3.289,-0.393,1.000
-2.659,-2.572,1.000
1.492,4.100,0.000
1.476,2.202,0.000
-3.469,-4.082,1.000
2.378,2.645,0.000
1.942,2.487,0.000
2.657,3.458,0.000
4.437,3.007,0.000
4.274,2.708,0.000
2.189,2.095,0.000
2.761,3.823,0.000
-2.285,-0.678,1.000
-3.057,-5.668,1.000
-2.570,-2.394,1.000
-3.003,-2.297,1.000
3.344,2.623,0.000
-0.455,0.255,1.000
-2.359,-3.792,1.000
-3.430,-0.434,1.000
-3.357,-0.752,1.000
2.115,3.287,0.000
1.212,1.779,0.000
-2.585,-9.458,1.000
3.892,3.096,0.000
4.386,4.009,0.000
2.652,3.199,0.000
-2.945,-4.304,1.000
3.528,3.208,0.000
1.330,4.765,0.000
-2.919,0.124,1.000
-1.977,-1.894,1.000
1.773,4.660,0.000
4.206,3.343,0.000
1.251,1.743,0.000
-1.146,-1.642,1.000
4.489,3.878,0.000
-4.586,-0.329,1.000
2.638,2.930,0.000
3.232,3.176,0.000
3.180,2.665,0.000
-3.298,-1.755,1.000
1.991,1.417,0.000
-3.082,-5.832,1.000
3.898,2.793,0.000
2.412,2.867,0.000
4.287,2.555,0.000
-3.276,-0.690,1.000
3.608,1.481,0.000
-2.788,-5.161,1.000
-2.621,-6.437,1.000
-3.608,-5.156,1.000
-2.448,-3.030,1.000
-4.300,-1.022,1.000
2.566,2.658,0.000
2.513,3.404,0.000
3.630,4.763,0.000
-6.058,-2.768,1.000
2.643,3.556,0.000
-3.198,-0.286,1.000
-2.100,-2.147,1.000
1.899,3.488,0.000
-0.973,-3.594,1.000
4.324,1.868,0.000
-3.021,-3.876,1.000
3.816,1.476,0.000
-3.873,-0.829,1.000
2.201,2.835,0.000
-3.419,1.951,1.000
4.405,4.392,0.000
-2.866,-6.234,1.000
4.247,0.830,0.000
1.642,2.684,0.000
2.993,1.681,0.000
-3.972,-2.892,1.000
4.180,2.102,0.000
-3.385,-6.479,1.000
-1.909,-4.180,1.000
1.066,1.793,0.000
-3.334,-4.134,1.000
-1.581,-3.302,1.000
2.719,1.335,0.000
-2.521,-1.683,1.000
-4.087,-0.402,1.000
-2.565,-0.847,1.000
-1.443,-0.871,1.000
-3.476,-0.330,1.000
-0.693,-5.436,1.000
-1.268,-1.565,1.000
4.516,3.312,0.000
-3.803,-3.067,1.000
-3.535,-2.540,1.000
-3.914,-7.030,1.000
1.875,2.851,0.000
-3.811,-2.116,1.000
2.365,3.996,0.000
-2.992,-1.834,1.000
3.621,2.839,0.000
3.833,1.673,0.000
2.425,2.579,0.000
-3.512,-5.456,1.000
3.710,3.092,0.000
2.385,5.111,0.000
2.546,3.633,0.000
-4.122,-2.367,1.000
-4.009,-3.337,1.000
-1.728,-2.042,1.000
-3.073,-5.485,1.000
2.585,3.080,0.000
-3.313,-2.206,1.000
-3.028,-4.016,1.000
-1.728,-2.347,1.000
5.276,3.406,0.000
-1.364,-0.258,1.000
2.723,2.975,0.000
-1.974,2.207,1.000
-0.005,-1.966,1.000
2.572,2.258,0.000
5.570,1.893,0.000
-3.673,-2.988,1.000
2.737,2.597,0.000
3.279,4.011,0.000
2.331,4.162,0.000
4.046,2.658,0.000
2.370,3.877,0.000
5.734,3.094,0.000
1.770,2.822,0.000
4.049,4.325,0.000
3.170,4.153,0.000
-2.089,-5.098,1.000
3.804,2.843,0.000
2.227,2.649,0.000
-3.547,-1.526,1.000
3.485,2.227,0.000
-3.722,-4.585,1.000
-3.991,-1.329,1.000
-1.999,-2.805,1.000
4.154,2.523,0.000
1.442,2.600,0.000
-2.759,-2.887,1.000
-3.966,-8.029,1.000
-4.001,-2.368,1.000
3.447,2.787,0.000
-4.325,-2.641,1.000
-1.163,-2.189,1.000
4.249,3.491,0.000
2.277,5.434,0.000
3.509,4.247,0.000
-4.253,-3.966,1.000
3.226,3.847,0.000
2.995,2.341,0.000
4.372,3.176,0.000
-2.791,-1.704,1.000
5.081,2.695,0.000
1.318,1.241,0.000
2.269,1.720,0.000
-1.897,-2.837,1.000
-2.148,-4.405,1.000
-2.056,-1.382,1.000
3.753,1.650,0.000
-2.366,-3.425,1.000
-5.765,-3.679,1.000
3.341,2.914,0.000
-3.034,-4.834,1.000
-2.996,0.254,1.000
-3.891,-1.048,1.000
-2.686,1.129,1.000
4.299,2.133,0.000
-3.854,-3.245,1.000
2.119,3.077,0.000
-5.309,-6.668,1.000
0.237,-1.883,1.000
-4.990,-4.194,1.000
1.659,4.887,0.000
3.500,1.947,0.000
3.280,0.259,0.000
2.612,2.114,0.000
-5.740,-0.320,1.000
4.364,5.539,0.000
-2.701,-4.123,1.000
2.542,2.374,0.000
2.295,2.296,0.000
3.176,3.409,0.000
-0.974,-0.431,1.000
3.377,4.651,0.000
3.559,3.873,0.000
-4.463,0.958,1.000
1.929,3.683,0.000
1.888,3.319,0.000
-3.694,0.402,1.000
-3.980,-7.068,1.000
2.149,3.105,0.000
-2.421,-3.228,1.000
-0.526,-0.268,1.000
-0.954,-1.390,1.000
0.548,2.099,0.000
-4.674,-0.517,1.000
3.817,3.619,0.000
3.735,2.046,0.000
1.909,2.183,0.000
2.057,4.404,0.000
4.123,1.559,0.000
3.295,1.903,0.000
4.080,1.155,0.000
2.827,2.312,0.000
-1.756,-4.748,1.000
2.802,4.317,0.000
-3.661,-2.814,1.000
2.666,2.682,0.000
2.592,3.262,0.000
-4.041,-3.136,1.000
4.009,4.532,0.000
2.604,2.711,0.000
-2.186,-1.480,1.000
-1.265,-2.832,1.000
-3.918,-0.505,1.000
-5.884,-1.817,1.000
-2.152,-1.729,1.000
-3.636,-1.585,1.000
2.371,3.598,0.000
-1.927,-2.538,1.000
-2.344,-3.861,1.000
-4.026,-1.569,1.000
3.025,3.090,0.000
3.973,3.796,0.000
3.242,5.047,0.000
2.159,2.992,0.000
3.165,3.569,0.000
-1.144,-3.016,1.000
-1.444,-2.685,1.000
-1.722,-2.464,1.000
-3.913,-6.795,1.000
-3.581,-4.264,1.000
2.910,3.781,0.000
3.982,3.331,0.000
-4.192,-6.238,1.000
2.771,3.389,0.000
-2.953,-4.697,1.000
-2.507,-5.803,1.000
2.648,3.243,0.000
0.345,3.346,0.000
1.912,3.929,0.000
4.065,3.120,0.000
4.033,1.190,0.000
1.980,2.731,0.000
3.502,3.857,0.000
1.430,3.074,0.000
-2.364,-1.693,1.000
-2.624,-2.320,1.000
-1.498,-3.350,1.000
2.926,2.718,0.000
-1.521,-2.429,1.000
3.217,3.442,0.000
3.852,0.679,0.000
-1.200,-6.642,1.000
-1.939,-3.973,1.000
-4.600,-2.773,1.000
2.336,4.360,0.000
1.939,2.346,0.000
2.160,3.165,0.000
-4.275,-7.169,1.000
-3.605,-1.136,1.000
2.466,1.505,0.000
3.814,2.060,0.000
4.286,4.062,0.000
-2.746,-1.210,1.000
2.513,4.334,0.000
1.497,2.739,0.000
2.132,3.146,0.000
-4.305,-4.879,1.000
-1.351,-3.981,1.000
-5.870,-4.482,1.000
-3.157,-0.560,1.000
-1.034,-3.430,1.000
0.497,3.685,0.000
2.730,3.948,0.000
-1.697,-3.198,1.000
4.200,4.816,0.000
-4.160,-4.016,1.000
3.933,3.422,0.000
0.301,-3.459,1.000
2.429,2.076,0.000
2.691,3.804,0.000
3.700,2.868,0.000
2.788,2.573,0.000
1.420,3.016,0.000
2.750,4.301,0.000
4.341,2.116,0.000
-2.846,-0.694,1.000
1.230,1.967,0.000
3.375,2.243,0.000
-3.137,3.630,1.000
2.507,2.555,0.000
1.212,3.357,0.000
3.362,3.581,0.000
3.574,1.246,0.000
5.055,2.681,0.000
-4.878,-5.193,1.000
4.223,2.317,0.000
3.424,3.941,0.000
1.005,1.700,0.000
2.885,3.633,0.000
1.994,1.949,0.000
-2.365,-2.558,1.000
-3.629,-8.149,1.000
-5.244,-4.349,1.000
-2.697,-0.982,1.000
-2.646,0.517,1.000
1.847,1.499,0.000
-4.003,-3.361,1.000
4.052,2.156,0.000
3.231,2.191,0.000
3.237,3.274,0.000
-2.681,-4.675,1.000
-1.479,2.144,1.000
-3.767,-0.940,1.000
3.276,3.279,0.000
3.024,3.872,0.000
3.501,4.158,0.000
2.770,3.628,0.000
5.784,1.389,0.000
-1.907,0.387,1.000
-5.264,-4.896,1.000
3.340,2.993,0.000
2.107,2.665,0.000
3.001,3.158,0.000
2.249,1.870,0.000
2.037,3.977,0.000
3.550,1.729,0.000
-4.223,-5.821,1.000
-2.808,-2.915,1.000
2.531,3.527,0.000
2.700,2.195,0.000
2.885,3.155,0.000
2.763,4.872,0.000
3.115,3.950,0.000
-3.920,-2.382,1.000
-3.434,0.541,1.000
-3.617,-4.009,1.000
1.861,3.268,0.000
-1.988,-1.848,1.000
-2.822,-7.329,1.000
2.637,3.175,0.000
3.756,1.587,0.000
2.477,3.949,0.000
-2.492,-4.909,1.000
-3.850,-5.892,1.000
1.983,3.517,0.000
0.963,4.570,0.000
-3.083,-4.447,1.000
3.390,2.915,0.000
-1.065,-2.189,1.000
-0.169,-6.492,1.000
-4.297,-1.776,1.000
-3.840,-2.058,1.000
-3.020,-4.176,1.000
-1.804,-1.947,1.000
-1.924,-2.334,1.000
1.630,2.228,0.000
-4.031,-2.965,1.000
-4.106,-2.465,1.000
-2.873,-3.512,1.000
3.571,3.971,0.000
-2.433,-3.635,1.000
2.211,3.744,0.000
3.695,1.939,0.000
-2.797,-2.051,1.000
3.276,2.201,0.000
3.972,2.969,0.000
1.409,3.565,0.000
2.297,0.860,0.000
-1.961,-1.013,1.000
-5.452,-0.370,1.000
-3.888,-2.324,1.000
4.396,1.690,0.000
2.814,2.595,0.000
2.559,4.582,0.000
-4.548,-5.111,1.000
3.488,4.580,0.000
-2.301,-2.863,1.000
3.945,4.266,0.000
-2.183,-1.183,1.000
-2.410,-5.161,1.000
-4.658,-3.279,1.000
-4.585,-0.446,1.000
-3.502,-7.033,1.000
5.539,3.524,0.000
3.219,3.882,0.000
-1.267,-3.230,1.000
-4.751,1.970,1.000
1.370,3.552,0.000
1.103,4.281,0.000
3.290,2.745,0.000
-1.922,-1.035,1.000
-3.121,-3.211,1.000
-2.194,-0.659,1.000
-2.157,-4.801,1.000
-4.392,-4.947,1.000
3.170,3.089,0.000
-2.439,-7.276,1.000
-2.957,-2.270,1.000
-5.924,-3.492,1.000
3.215,0.978,0.000
2.850,3.528,0.000
-3.255,-2.156,1.000
3.771,3.667,0.000
-0.247,-1.446,1.000
-2.683,1.009,1.000
3.989,3.623,0.000
-1.964,-7.381,1.000
-3.071,-6.691,1.000
2.876,3.740,0.000
-3.970,-2.102,1.000
-1.241,-6.395,1.000
2.185,2.441,0.000
2.109,0.675,0.000
-2.910,-4.295,1.000
-3.745,-1.013,1.000
-1.328,-1.441,1.000
-3.793,-1.205,1.000
-5.580,0.232,1.000
-4.622,-3.103,1.000
-3.228,-2.889,1.000
2.520,3.128,0.000
-2.072,-0.803,1.000
3.543,4.035,0.000
2.228,4.661,0.000
-5.168,-5.587,1.000
2.466,2.994,0.000
3.543,4.084,0.000
-4.582,-2.757,1.000
-3.752,-0.439,1.000
1.086,3.941,0.000
-2.080,-2.390,1.000
1.996,3.510,0.000
-1.937,-3.616,1.000
0.387,3.950,0.000
4.055,3.654,0.000
-2.762,-4.432,1.000
-3.973,-2.717,1.000
1.208,2.553,0.000
-4.320,-6.767,1.000
-0.831,-0.563,1.000
-1.153,-3.370,1.000
2.994,3.403,0.000
-2.241,-0.343,1.000
-4.057,-3.917,1.000
0.766,-0.725,1.000
-3.064,-2.407,1.000
2.821,2.268,0.000
-4.062,0.759,1.000
3.536,2.085,0.000
4.621,4.570,0.000
-1.867,-9.202,1.000
-2.785,-3.661,1.000
2.778,1.853,0.000
2.851,2.593,0.000
3.099,2.870,0.000
3.171,3.836,0.000
-2.202,-5.522,1.000
3.413,1.070,0.000
3.894,3.755,0.000
2.793,2.377,0.000
-5.102,-6.443,1.000
2.842,3.807,0.000
1.631,3.535,0.000
3.195,1.937,0.000
1.594,2.965,0.000
-1.407,-2.868,1.000
-1.255,-3.580,1.000
-3.187,-6.445,1.000
0.792,3.361,0.000
-4.188,-1.780,1.000
2.514,3.208,0.000
-2.184,-2.575,1.000
3.406,3.715,0.000
-4.092,-2.073,1.000
-1.143,-5.318,1.000
-1.406,1.384,1.000
2.739,3.135,0.000
-3.766,-3.954,1.000
-4.039,-1.827,1.000
-4.773,-1.808,1.000
-5.628,-6.081,1.000
-3.257,-1.141,1.000
3.318,1.388,0.000
3.175,1.783,0.000
-1.765,-4.488,1.000
-0.890,-2.073,1.000
2.898,3.042,0.000
-1.439,-0.817,1.000
-1.898,0.546,1.000
2.124,3.038,0.000
2.891,2.945,0.000
-2.008,-4.390,1.000
-3.499,-5.656,1.000
-2.604,-3.809,1.000
2.985,3.796,0.000
2.743,2.632,0.000
-3.967,-5.000,1.000
-1.403,-1.617,1.000
-1.478,-3.041,1.000
3.057,0.717,0.000
1.822,3.204,0.000
-3.341,1.376,1.000
1.299,2.594,0.000
3.250,1.860,0.000
-2.110,-5.215,1.000
3.851,2.380,0.000
-2.721,-3.503,1.000
-1.789,-4.198,1.000
1.310,3.987,0.000
-2.581,-4.725,1.000
-5.110,-2.932,1.000
-3.090,-2.434,1.000
-4.804,-4.002,1.000
-2.956,-1.130,1.000
-2.630,-3.782,1.000
-3.412,-2.276,1.000
2.341,3.004,0.000
4.495,3.338,0.000
-3.296,-5.334,1.000
0.087,-2.103,1.000
-5.962,-4.827,1.000
1.595,3.501,0.000
2.872,2.534,0.000
-3.869,-2.676,1.000
-1.179,-1.087,1.000
-1.647,0.647,1.000
-4.565,-6.242,1.000
-2.620,-4.982,1.000
-4.309,-2.371,1.000
-3.575,-6.576,1.000
-1.363,-1.479,1.000
-4.754,-1.989,1.000
-0.834,-1.274,1.000
-0.704,-0.262,1.000
3.304,3.257,0.000
2.289,2.331,0.000
-2.911,-5.664,1.000
-2.198,-5.483,1.000
2.761,3.854,0.000
3.015,3.442,0.000
2.453,1.772,0.000
3.742,4.477,0.000
3.500,3.533,0.000
-3.810,-0.392,1.000
5.310,2.336,0.000
2.698,2.995,0.000
-2.360,-2.688,1.000
-3.947,-5.000,1.000
2.889,3.976,0.000
-2.876,-2.448,1.000
1.735,4.092,0.000
-3.279,-4.312,1.000
2.960,2.465,0.000
3.818,3.134,0.000
-0.086,-7.383,1.000
3.647,3.126,0.000
3.713,3.047,0.000
-4.553,-2.207,1.000
-0.438,-2.151,1.000
2.041,4.382,0.000
-4.220,-0.388,1.000
-3.361,-5.659,1.000
-2.497,-1.738,1.000
-2.221,-5.167,1.000
-3.381,3.073,1.000
-2.834,-5.726,1.000
2.691,3.673,0.000
-0.804,-4.979,1.000
-2.910,-8.648,1.000
3.102,2.567,0.000
4.363,3.829,0.000
3.453,2.834,0.000
-3.310,-4.036,1.000
-4.762,-1.195,1.000
-3.419,-7.215,1.000
0.862,-1.926,1.000
2.618,2.587,0.000
-2.957,-5.159,1.000
1.712,3.101,0.000
4.707,3.874,0.000
2.630,2.166,0.000
-2.728,2.217,1.000
3.525,4.782,0.000
-1.264,-3.490,1.000
3.552,2.290,0.000
2.217,3.674,0.000
2.822,2.590,0.000
2.419,2.475,0.000
2.880,3.114,0.000
-2.277,-3.806,1.000
2.541,2.693,0.000
-1.284,-6.159,1.000
-4.311,-1.148,1.000
2.301,2.991,0.000
-2.035,-0.881,1.000
4.271,3.771,0.000
-0.558,-3.582,1.000
-2.404,-3.496,1.000
-2.712,-4.645,1.000
3.649,3.987,0.000
2.567,3.204,0.000
4.389,0.341,0.000
-2.251,-4.454,1.000
-2.641,-7.685,1.000
-3.776,-3.427,1.000
4.057,3.051,0.000
1.651,3.586,0.000
-4.182,-2.595,1.000
3.886,2.863,0.000
-3.817,-0.575,1.000
2.869,0.965,0.000
4.524,0.543,0.000
3.515,4.205,0.000
-3.228,-9.420,1.000
-3.089,-4.540,1.000
4.812,3.358,0.000
3.181,5.644,0.000
2.377,2.582,0.000
-2.055,-5.407,1.000
-2.987,-4.317,1.000
-3.918,-1.358,1.000
2.797,3.047,0.000
-2.711,-3.826,1.000
-2.990,-3.458,1.000
-3.803,-0.072,1.000
4.510,3.402,0.000
-2.924,-1.865,1.000
-2.889,-7.247,1.000
-1.820,-5.710,1.000
-4.080,-5.232,1.000
-4.151,-1.127,1.000
-5.383,0.264,1.000
-4.172,-3.185,1.000
1.361,3.463,0.000
-3.687,2.988,1.000
0.415,-5.981,1.000
-2.549,-5.584,1.000
0.801,-1.539,1.000
-3.779,-3.731,1.000
3.872,4.066,0.000
3.291,2.364,0.000
2.028,3.079,0.000
-1.727,-2.265,1.000
-2.700,-4.715,1.000
1.554,2.156,0.000
-2.176,-1.874,1.000
-3.598,-0.120,1.000
-3.377,-2.927,1.000
2.877,2.925,0.000
-0.498,-2.405,1.000
-3.711,-5.801,1.000
3.920,3.314,0.000
2.637,3.584,0.000
-1.163,-4.794,1.000
-3.990,-2.621,1.000
-2.885,-5.046,1.000
2.687,1.401,0.000
3.070,3.984,0.000
3.770,4.268,0.000
3.687,3.071,0.000
-3.729,-4.222,1.000
-3.238,-1.855,1.000
-4.567,-3.384,1.000
-2.203,-6.629,1.000
1.190,3.965,0.000
-0.481,2.130,0.000
-3.044,-5.223,1.000
2.798,3.061,0.000
-3.581,-4.260,1.000
-4.744,-5.622,1.000
-2.446,-3.565,1.000
-4.258,-5.394,1.000
-4.403,-3.831,1.000
-3.448,-0.299,1.000
2.729,2.387,0.000
-2.504,1.043,1.000
-6.122,-3.983,1.000
2.322,3.149,0.000
2.535,3.887,0.000
-2.659,-6.409,1.000
-2.316,-3.594,1.000
4.209,3.538,0.000
3.235,3.253,0.000
1.269,4.444,0.000
2.652,3.829,0.000
-3.191,-2.761,1.000
2.074,2.487,0.000
-2.508,-2.821,1.000
3.012,3.931,0.000
-2.552,-2.562,1.000
3.218,3.911,0.000
2.774,3.003,0.000
-2.803,-1.945,1.000
-2.101,-1.387,1.000
-2.289,-5.323,1.000
-2.949,-4.641,1.000
1.560,4.191,0.000
-3.002,-2.438,1.000
5.155,3.672,0.000
-4.661,-6.155,1.000
-4.862,-0.700,1.000
3.966,3.082,0.000
-1.344,-7.105,1.000
-2.489,-4.179,1.000
2.400,3.947,0.000
3.074,2.771,0.000
-0.782,-3.679,1.000
3.460,3.608,0.000
3.767,1.850,0.000
4.027,3.166,0.000
3.933,2.238,0.000
-2.161,-1.332,1.000
3.835,3.297,0.000
1.653,2.119,0.000
-1.900,-4.139,1.000
2.834,2.174,0.000
-2.883,-3.401,1.000
-3.498,0.296,1.000
2.482,2.401,0.000
3.474,3.054,0.000
1.978,2.838,0.000
-1.893,-5.268,1.000
4.205,1.803,0.000
-4.000,-3.821,1.000
-5.325,-5.858,1.000
-3.429,-6.472,1.000
3.732,4.080,0.000
3.372,3.479,0.000
5.559,3.394,0.000
2.676,2.794,0.000
3.267,2.599,0.000
-2.430,-4.948,1.000
1.869,3.134,0.000
1.547,3.784,0.000
2.911,3.030,0.000
1.962,2.924,0.000
-2.324,-4.392,1.000
2.324,0.770,0.000
4.071,2.417,0.000
-3.446,-4.808,1.000
1.927,2.007,0.000
2.127,3.794,0.000
-3.127,-0.284,1.000
-2.863,-1.429,1.000
2.351,3.481,0.000
-3.247,-3.067,1.000
3.851,2.012,0.000
